Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
41,68.46153846153848,53.064516129032256,59.33333333333333,54.117647058823536,65.41666666666667,49.33249736489695,64.53335991493887,60.51972537266655,70.38492063492063,34.13793103448276,33.21428571428571,35.88235294117648
42,66.85897435897436,52.58064516129032,60.666666666666664,47.94117647058823,63.17460317460318,48.97458398765524,59.33074813944379,48.16083916083916,70.88095238095238,39.310344827586206,38.57142857142857,32.352941176470594
43,65.1923076923077,54.677419354838705,58.333333333333336,48.23529411764706,62.281746031746025,50.44829884074735,46.15772814142379,48.43971306471307,67.13095238095238,33.10344827586207,30.714285714285715,25.294117647058826
44,66.02564102564102,53.70967741935484,58.166666666666664,48.82352941176471,62.94444444444444,49.603869864759154,49.122087240693375,48.46386456680574,71.80952380952381,34.827586206896555,34.642857142857146,30.588235294117645
45,69.2948717948718,50.80645161290322,56.5,48.529411764705884,67.17857142857142,46.94769596379766,52.02599116569705,48.69047619047619,68.79761904761905,36.20689655172414,34.64285714285715,34.11764705882352
46,66.92307692307693,51.61290322580645,56.5,48.529411764705884,64.25,48.445677488053356,51.669719169719166,48.30563593494629,63.98015873015872,37.58620689655172,34.64285714285714,35.294117647058826
47,67.82051282051282,49.193548387096776,59.0,50.88235294117647,66.17460317460318,43.616423678492644,61.46363636363636,52.05424353649505,69.36904761904762,38.96551724137931,40.357142857142854,39.41176470588236
48,68.58974358974358,52.58064516129033,58.500000000000014,49.411764705882355,64.42460317460316,49.37656171914043,55.45104237867396,49.743589743589745,71.77380952380952,33.79310344827586,32.85714285714286,30.588235294117645
49,65.32051282051283,52.09677419354838,53.833333333333336,50.88235294117648,64.82142857142858,50.02110032598647,49.70535941302531,54.09645011850894,60.98412698412699,38.96551724137931,27.5,30.588235294117645
50,73.2051282051282,52.741935483870975,56.66666666666667,51.76470588235294,69.82142857142857,49.528842345018816,58.49743230625584,54.710461107519926,69.95238095238095,41.03448275862069,27.142857142857146,34.705882352941174
