Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
26,77.82051282051283,57.741935483870975,56.833333333333336,62.94117647058823,75.22222222222221,52.03952588220322,56.58928571428572,90.0,70.28174603174602,34.48275862068966,21.071428571428573,25.882352941176475
27,84.42307692307693,57.741935483870975,57.83333333333333,65.0,85.83333333333333,57.49982818060911,63.92213342213343,100.0,81.71428571428571,38.62068965517242,24.285714285714285,30.000000000000007
28,82.05128205128206,58.548387096774206,57.66666666666667,64.41176470588236,82.51515151515152,58.097605963008434,63.13009213009214,100.0,81.71428571428571,41.03448275862069,23.928571428571427,28.823529411764714
29,83.65384615384616,60.16129032258065,55.5,64.41176470588235,81.83333333333333,60.66759377664109,57.94651255177571,97.14285714285714,84.21428571428571,45.86206896551724,22.857142857142858,30.000000000000007
30,80.51282051282053,57.741935483870975,56.166666666666664,63.52941176470589,80.83333333333333,57.37487895246517,60.37493062493063,95.23809523809523,77.78571428571429,46.20689655172414,22.142857142857142,30.000000000000007
31,79.74358974358975,58.06451612903227,56.0,61.76470588235295,81.66666666666666,58.08674982785105,60.70681605975724,92.28571428571428,76.67460317460318,45.51724137931034,22.142857142857146,28.823529411764707
32,80.57692307692307,57.90322580645162,55.666666666666664,61.76470588235295,78.66666666666666,56.44989061636073,60.264676843624216,88.03571428571428,78.46031746031746,49.310344827586206,23.571428571428573,31.764705882352946
33,84.2948717948718,55.000000000000014,55.166666666666664,64.41176470588236,80.87301587301587,51.85971842510118,58.82919930946247,91.34920634920636,88.0,48.27586206896551,24.642857142857146,34.117647058823536
34,85.12820512820512,56.451612903225815,55.83333333333333,66.1764705882353,82.65873015873015,53.99466912397948,59.03373015873016,96.34920634920636,86.0,44.48275862068965,22.85714285714286,34.117647058823536
35,79.42307692307693,55.96774193548388,56.16666666666667,64.11764705882355,70.86111111111111,49.43460450368345,54.875,90.0,74.75,38.62068965517241,20.0,28.23529411764706
36,85.12820512820514,55.645161290322584,55.66666666666667,66.1764705882353,80.81349206349206,53.366323219264395,58.597222222222214,98.75,87.82142857142858,39.310344827586206,21.42857142857143,32.941176470588246
37,83.58974358974359,54.354838709677416,56.5,67.05882352941177,79.39935064935065,51.14661654135339,64.33333333333334,98.75,87.82142857142858,37.93103448275862,17.14285714285714,34.70588235294118
38,82.82051282051283,55.0,56.333333333333336,67.35294117647058,79.28571428571428,51.78583607355986,65.47619047619048,98.75,86.57142857142858,42.41379310344828,17.857142857142854,35.294117647058826
39,82.75641025641025,55.483870967741936,56.0,67.64705882352942,79.95238095238095,52.35726464498843,64.42857142857142,98.0,84.07142857142858,41.37931034482759,19.642857142857142,36.47058823529412
40,83.58974358974359,55.645161290322584,54.333333333333336,67.05882352941177,81.79761904761904,52.71018582450366,55.70804685510568,97.14285714285714,85.32142857142858,44.137931034482754,21.428571428571423,35.294117647058826
41,78.97435897435898,53.54838709677419,54.16666666666667,64.41176470588235,78.7936507936508,49.911450314391494,55.368298015356835,91.78571428571429,80.12698412698413,44.827586206896555,28.571428571428566,37.05882352941177
42,77.43589743589743,53.70967741935484,53.333333333333336,65.29411764705883,77.72222222222223,50.283803033803025,51.75613275613275,92.28260869565217,76.1984126984127,46.206896551724135,28.928571428571427,38.82352941176471
43,84.2948717948718,52.74193548387096,53.83333333333333,67.05882352941177,82.78571428571429,48.94417249417249,52.77568754774636,97.5,84.57142857142858,41.37931034482759,24.285714285714285,35.294117647058826
44,84.2948717948718,53.87096774193549,54.0,67.05882352941177,82.15873015873015,50.54316985403942,54.08059587471352,96.07142857142858,83.89285714285714,45.862068965517246,24.285714285714285,35.88235294117648
45,79.61538461538461,53.87096774193549,53.66666666666667,63.82352941176471,78.04761904761905,51.08523939828288,53.96988670244484,91.54285714285714,80.6984126984127,45.172413793103445,27.5,37.05882352941176
46,84.2948717948718,54.354838709677416,55.66666666666667,66.1764705882353,83.88095238095238,51.14890109890109,59.004574372995435,93.80952380952381,81.71428571428571,45.172413793103445,23.214285714285715,35.294117647058826
47,83.46153846153847,54.677419354838705,55.666666666666664,66.1764705882353,81.7936507936508,52.05204272863568,58.58683035231022,93.57142857142858,83.32142857142858,44.48275862068965,23.928571428571427,35.294117647058826
48,85.0,54.83870967741935,56.66666666666667,65.88235294117648,83.93650793650794,51.94094261473293,60.98934398934399,92.73809523809523,83.32142857142858,43.79310344827586,24.642857142857146,35.294117647058826
49,82.62820512820512,54.83870967741935,56.16666666666667,65.88235294117648,80.44444444444444,51.921766883057195,59.05710955710955,95.23809523809523,80.46428571428571,43.44827586206897,24.64285714285714,34.11764705882353
50,79.55128205128204,55.16129032258065,53.5,64.11764705882354,78.94444444444444,52.67915256786224,52.17459011576658,90.47619047619048,76.85317460317461,38.27586206896551,22.857142857142854,32.94117647058824
51,84.23076923076923,55.322580645161295,53.5,65.0,83.32142857142857,52.616334965349076,51.782051282051285,92.91666666666666,82.10317460317461,40.689655172413794,23.571428571428566,33.529411764705884
52,84.99999999999999,55.645161290322584,54.5,62.941176470588246,83.5,53.09034196534196,54.12574462574463,86.66666666666666,83.53174603174602,41.37931034482758,24.64285714285714,33.529411764705884
53,74.93589743589743,54.51612903225807,52.0,60.588235294117645,74.33333333333334,51.87092470788123,50.0143753305518,82.14942528735632,78.53174603174602,47.241379310344826,30.0,37.05882352941177
54,82.62820512820512,55.96774193548388,55.166666666666664,62.352941176470594,79.16666666666666,53.8593483464173,56.3974358974359,86.28787878787878,85.71428571428571,43.10344827586207,25.0,32.352941176470594
55,81.85897435897435,55.96774193548388,54.5,62.941176470588246,78.66666666666666,53.7082927168403,54.490564990564984,83.36363636363636,86.03174603174602,46.206896551724135,26.785714285714285,34.705882352941174
56,77.94871794871794,54.19354838709678,53.5,60.88235294117648,76.82142857142858,51.55338884877854,52.72157896171526,79.74458874458874,81.4484126984127,49.310344827586206,30.357142857142854,38.82352941176471
57,81.92307692307692,56.29032258064516,54.66666666666667,62.941176470588246,79.08333333333333,53.93814013662411,55.23205128205128,86.47619047619048,83.71428571428571,46.206896551724135,24.285714285714285,32.94117647058824
58,86.7948717948718,55.483870967741936,55.16666666666667,62.05882352941177,86.39285714285714,53.75492424242424,56.7924828794394,83.66666666666666,88.21428571428571,47.24137931034483,23.214285714285715,32.94117647058824
59,81.85897435897436,54.19354838709678,54.333333333333336,63.23529411764706,78.03571428571429,52.211306410096725,54.76180603993903,87.66666666666666,85.71428571428571,41.724137931034484,22.5,32.94117647058824
60,80.38461538461539,54.83870967741935,56.333333333333336,62.64705882352941,78.18650793650794,52.822467709424224,58.24800637958532,85.4047619047619,82.60317460317461,43.79310344827586,26.071428571428573,32.94117647058824
