,parameter
129,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
130,"{'C': 1000, 'degree': 6, 'gamma': 'auto', 'kernel': 'poly'}"
131,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
132,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
133,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
134,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
135,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
136,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}"
137,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
138,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
139,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
140,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}"
141,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
142,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
143,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
144,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
145,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}"
146,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
147,"{'C': 1000, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}"
148,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
149,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
150,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}"
151,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
152,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
153,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
154,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}"
155,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}"
156,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'rbf'}"
157,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
158,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
159,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
160,"{'C': 100, 'degree': 6, 'gamma': 0.1, 'kernel': 'poly'}"
161,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
162,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
163,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
164,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
165,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
166,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
167,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
168,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
169,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
170,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
171,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
172,"{'C': 0.1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}"
173,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
174,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
175,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
176,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
177,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
178,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
179,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}"
180,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
181,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
182,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
183,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
184,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
185,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
186,"{'C': 0.1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}"
187,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}"
188,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
189,"{'C': 100, 'degree': 6, 'gamma': 0.1, 'kernel': 'poly'}"
190,"{'C': 100, 'degree': 6, 'gamma': 0.1, 'kernel': 'poly'}"
191,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
192,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}"
193,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
194,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
195,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
196,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
197,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
198,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
199,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
